subjectID;rating;cond_type
1;1.5;motive
2;0.583333333;motive
3;2.666666667;motive
4;1.416666667;motive
5;2.5;motive
6;2.916666667;motive
7;1.5;motive
8;1.25;motive
9;0.666666667;motive
10;0;motive
11;2.083333333;motive
12;1.083333333;motive
13;1.166666667;motive
14;0.416666667;motive
15;1.75;motive
16;3.25;motive
17;2.083333333;motive
18;1.166666667;motive
19;1.5;motive
20;0.333333333;motive
21;1.666666667;motive
22;2;motive
23;0.916666667;motive
24;1.583333333;motive
25;1.25;motive
26;1.25;motive
27;1.166666667;motive
28;2;motive
29;1.75;motive
30;2.583333333;motive
31;2.416666667;motive
32;1;motive
33;2.25;motive
1;-1.666666667;control
2;-1.166666667;control
3;-2.75;control
4;-0.333333333;control
5;-2;control
6;-3.333333333;control
7;0;control
8;-3;control
9;-1.333333333;control
10;0;control
11;-0.75;control
12;-2.25;control
13;-0.583333333;control
14;-0.75;control
15;-0.833333333;control
16;-2.083333333;control
17;-2.75;control
18;-1;control
19;-0.083333333;control
20;-0.75;control
21;-2.25;control
22;-3.083333333;control
23;-2.916666667;control
24;-1;control
25;-1.833333333;control
26;-0.5;control
27;-2;control
28;-2.666666667;control
29;-1;control
30;-0.083333333;control
31;-2;control
32;-1.583333333;control
33;-1.75;control
1;0.75;motive
2;0.666666667;motive
3;1;motive
4;2.833333333;motive
5;2.333333333;motive
6;2.333333333;motive
7;1.5;motive
8;2.416666667;motive
9;1.583333333;motive
10;3.75;motive
11;2.583333333;motive
12;0.833333333;motive
13;1.5;motive
14;1.583333333;motive
15;0.833333333;motive
16;2.166666667;motive
17;2.166666667;motive
18;2.25;motive
19;1.916666667;motive
20;1.333333333;motive
21;1.666666667;motive
22;1.833333333;motive
23;2.5;motive
24;1.666666667;motive
25;0.833333333;motive
26;0.333333333;motive
27;1.5;motive
28;1;motive
29;1.166666667;motive
30;2.166666667;motive
31;0.833333333;motive
32;2.5;motive
33;2;motive
1;0.25;control
2;-0.25;control
3;-1.25;control
4;-2.333333333;control
5;-0.916666667;control
6;-1.083333333;control
7;-1;control
8;-1.25;control
9;0.416666667;control
10;-0.583333333;control
11;-1.916666667;control
12;-0.416666667;control
13;-1.166666667;control
14;-0.333333333;control
15;0.083333333;control
16;0.333333333;control
17;-1.666666667;control
18;-0.333333333;control
19;-2;control
20;0;control
21;-0.583333333;control
22;-0.833333333;control
23;0.166666667;control
24;0;control
25;-0.5;control
26;-0.75;control
27;0.083333333;control
28;-0.583333333;control
29;0.583333333;control
30;0;control
31;-0.833333333;control
32;-2.083333333;control
33;-2.416666667;control
1;0.916666667;motive
2;1.166666667;motive
3;-1.333333333;motive
4;1.5;motive
5;1.75;motive
6;3;motive
7;1.25;motive
8;1;motive
9;1.5;motive
10;0.333333333;motive
11;2.583333333;motive
12;1.083333333;motive
13;0.333333333;motive
14;1.416666667;motive
15;2.083333333;motive
16;2.833333333;motive
17;2.333333333;motive
18;1.833333333;motive
19;2.333333333;motive
20;0.416666667;motive
21;1.333333333;motive
22;1.666666667;motive
23;1.5;motive
24;1.666666667;motive
25;1.083333333;motive
26;1.583333333;motive
27;1.583333333;motive
28;1.083333333;motive
29;2.416666667;motive
30;2.916666667;motive
31;1.5;motive
32;0.25;motive
33;2.333333333;motive
1;1.666666667;motive
2;1.083333333;motive
3;1.166666667;motive
4;2.583333333;motive
5;2.083333333;motive
6;0.666666667;motive
7;1;motive
8;0.666666667;motive
9;1;motive
10;1.75;motive
11;0.916666667;motive
12;0.25;motive
13;2.083333333;motive
14;1.916666667;motive
15;1.5;motive
16;1.333333333;motive
17;2.416666667;motive
18;2.833333333;motive
19;-0.5;motive
20;1.583333333;motive
21;2.083333333;motive
22;2.083333333;motive
23;1.833333333;motive
24;1;motive
25;-2.583333333;motive
26;0.75;motive
27;1.916666667;motive
28;1.166666667;motive
29;1.25;motive
30;2.416666667;motive
31;1.333333333;motive
32;2.666666667;motive
33;1.25;motive
1;0;control
2;0.583333333;control
3;-0.416666667;control
4;-0.416666667;control
5;0;control
6;-1.333333333;control
7;-1;control
8;0;control
9;0.583333333;control
10;-0.083333333;control
11;-1.25;control
12;-1.25;control
13;-1;control
14;-1.666666667;control
15;0.666666667;control
16;0.416666667;control
17;-0.666666667;control
18;0;control
19;0.083333333;control
20;-0.583333333;control
21;-1;control
22;-1.083333333;control
23;-0.416666667;control
24;0;control
25;0;control
26;-0.5;control
27;0.166666667;control
28;0;control
29;-0.333333333;control
30;0.333333333;control
31;-0.583333333;control
32;-3.416666667;control
33;0.083333333;control
1;-2.25;control
2;-0.916666667;control
3;-3.083333333;control
4;-0.166666667;control
5;-0.916666667;control
6;-1.25;control
7;0;control
8;-3.583333333;control
9;-2.083333333;control
10;-0.833333333;control
11;-0.333333333;control
12;-1.833333333;control
13;0.083333333;control
14;-0.5;control
15;-1.5;control
16;-1.083333333;control
17;-2.583333333;control
18;-1;control
19;-0.083333333;control
20;-2.333333333;control
21;-2.083333333;control
22;-2.416666667;control
23;-1.5;control
24;-0.166666667;control
25;-2.666666667;control
26;-1.416666667;control
27;-1.333333333;control
28;-2;control
29;-1.916666667;control
30;-0.166666667;control
31;-1.916666667;control
32;-1.25;control
33;-2.166666667;control
