ID;empathy_scale;decis_rel_diff;a_rel_diff;betas_bil_putam;diff_multi_reciprocity_ratings
1;-1.832822447;-0.359388627;1.733185468;-1.233862128;1.129098545
2;0.554669951;1.476440228;-1.480118082;0.036874165;1.091316048
3;-1.036991648;-0.038439527;-0.684218071;1.552294724;-0.776650933
4;-0.506437781;-0.038439527;0.077888488;2.232654193;-0.920276027
5;-0.241160848;-0.246622727;1.100425697;-1.624593597;-0.34441364
6;0.024116085;-0.229003055;2.190635028;-1.448850845;-0.339832114
7;-0.241160848;-0.680337728;-0.387804325;-0.057113465;-0.045042163
8;-1.302268581;1.113201364;-0.343141426;0.977431361;-1.616878384
9;1.350500751;-0.54079464;-0.12670211;1.194212131;-0.013923254
10;1.881054617;-0.865126604;-0.585744348;-0.161622029;-3.279954398
11;1.615777684;-0.707083486;-0.724613649;1.371706669;-0.797340275
12;-1.036991648;0.422924805;0.552526995;-0.487802001;0.389589985
13;-0.771714715;-0.139791874;-0.296058122;0.497645382;-0.025745418
14;0.024116085;-0.359388627;3.345100437;-0.653159146;0.404917123
15;0.289393018;4.276542825;0.062317011;-0.607003201;1.608211648
16;0.289393018;-0.97296779;0.4887208;-0.342773377;0.131580273
17;0.289393018;-0.472154527;-1.133404071;0.691758314;0.393129828
18;-0.241160848;0.184829413;-0.915660971;-0.966127554;0.20059865
19;1.350500751;-0.647136097;-0.106123101;1.162828793;-0.751006645
20;-1.036991648;-0.558071404;0.235414103;-0.614442311;-0.003715267
21;-0.771714715;0.104204518;-0.006398891;-0.050009674;0.327195772
22;1.085223817;-0.359388627;-0.316825973;-0.079167324;0.292532465
23;-0.771714715;-0.489774199;-0.948480388;-0.434940025;-0.845673866
24;-0.241160848;-0.071641158;-0.233663465;0.554988521;-0.031254908
25;-0.241160848;-0.776622458;-0.517279023;-0.108114507;-1.054763827
26;-1.302268581;-0.50840071;-0.458637689;1.257500072;1.620575992
27;0.024116085;1.627439138;-0.827458067;-0.579735165;0.616051025
28;1.881054617;0.582752281;-0.7041674;1.218408367;0.628415369
29;-0.506437781;0.14634935;-0.91071232;-0.550639286;1.217639802
30;0.819946884;-0.127592054;0.138422751;-0.477205818;0.732283763
31;0.024116085;0.614156978;1.005340975;-1.727735705;1.184095724
32;-1.036991648;-0.359388627;0.7623996;-0.852898708;-1.147622353
33;1.615777684;-1.001286828;0.01483414;0.309493172;0.026861461
