"","condition","ID","rt","cond_type"
"1","control",1,1399.33333333333,"control_type"
"2","empathy",1,791.918918918919,"motive_type"
"3","emprecip",1,1197.73684210526,"motive_type"
"4","reciprocity",1,900.342105263158,"motive_type"
"5","control",2,1582.21428571429,"control_type"
"6","empathy",2,1999.28571428571,"motive_type"
"7","emprecip",2,1437.83333333333,"motive_type"
"8","reciprocity",2,1937.48,"motive_type"
"9","control",3,1855.21052631579,"control_type"
"10","empathy",3,1708.94444444444,"motive_type"
"11","emprecip",3,1608,"motive_type"
"12","reciprocity",3,2052,"motive_type"
"13","control",4,1712.41666666667,"control_type"
"14","empathy",4,1663.09523809524,"motive_type"
"15","emprecip",4,1531.96428571429,"motive_type"
"16","reciprocity",4,1569.88461538462,"motive_type"
"17","control",5,1574.22222222222,"control_type"
"18","empathy",5,1098.02702702703,"motive_type"
"19","emprecip",5,1380.31578947368,"motive_type"
"20","reciprocity",5,1119.75675675676,"motive_type"
"21","control",6,1637.33333333333,"control_type"
"22","empathy",6,1169.40625,"motive_type"
"23","emprecip",6,1833.15151515152,"motive_type"
"24","reciprocity",6,1133.9375,"motive_type"
"25","control",7,1737.45454545455,"control_type"
"26","empathy",7,1481.76923076923,"motive_type"
"27","emprecip",7,1593.16666666667,"motive_type"
"28","reciprocity",7,1445.96153846154,"motive_type"
"29","control",8,1909.09523809524,"control_type"
"30","empathy",8,2117.73913043478,"motive_type"
"31","emprecip",8,1972.39130434783,"motive_type"
"32","reciprocity",8,2207.05882352941,"motive_type"
"33","control",9,1292.08695652174,"control_type"
"34","empathy",9,1416.78947368421,"motive_type"
"35","emprecip",9,1349.09090909091,"motive_type"
"36","reciprocity",9,1460.69565217391,"motive_type"
"37","control",10,1393.73333333333,"control_type"
"38","empathy",10,1797.03225806452,"motive_type"
"39","emprecip",10,1274.10344827586,"motive_type"
"40","reciprocity",10,1404.36363636364,"motive_type"
"41","control",11,1538.21875,"control_type"
"42","empathy",11,1845.74074074074,"motive_type"
"43","emprecip",11,1384.18181818182,"motive_type"
"44","reciprocity",11,1613.75,"motive_type"
"45","control",12,1928.9375,"control_type"
"46","empathy",12,1787.65,"motive_type"
"47","emprecip",12,1883.10526315789,"motive_type"
"48","reciprocity",12,1676.375,"motive_type"
"49","control",13,2413.52631578947,"control_type"
"50","empathy",13,2143.8,"motive_type"
"51","emprecip",13,2308.75,"motive_type"
"52","reciprocity",13,2263.84210526316,"motive_type"
"53","control",14,1866.23684210526,"control_type"
"54","empathy",14,1262.71052631579,"motive_type"
"55","emprecip",14,1786.15789473684,"motive_type"
"56","reciprocity",14,1094.84210526316,"motive_type"
"57","control",15,2023.91666666667,"control_type"
"58","empathy",15,1480.47368421053,"motive_type"
"59","emprecip",15,1741.97368421053,"motive_type"
"60","reciprocity",15,2216.77777777778,"motive_type"
"61","control",16,1547.78787878788,"control_type"
"62","empathy",16,1276.59375,"motive_type"
"63","emprecip",16,1485.37931034483,"motive_type"
"64","reciprocity",16,1304.94117647059,"motive_type"
"65","control",17,1866.17857142857,"control_type"
"66","empathy",17,2091.85185185185,"motive_type"
"67","emprecip",17,1736.52777777778,"motive_type"
"68","reciprocity",17,1951.59459459459,"motive_type"
"69","control",18,1063,"control_type"
"70","empathy",18,1185.45833333333,"motive_type"
"71","emprecip",18,796.692307692308,"motive_type"
"72","reciprocity",18,887.130434782609,"motive_type"
"73","control",19,1836.34375,"control_type"
"74","empathy",19,1880.1,"motive_type"
"75","emprecip",19,1350.96296296296,"motive_type"
"76","reciprocity",19,1497,"motive_type"
"77","control",20,2158.19047619048,"control_type"
"78","empathy",20,1556.41666666667,"motive_type"
"79","emprecip",20,2025.7,"motive_type"
"80","reciprocity",20,1876.28571428571,"motive_type"
"81","control",21,2149.47368421053,"control_type"
"82","empathy",21,1929.33333333333,"motive_type"
"83","emprecip",21,2005.4,"motive_type"
"84","reciprocity",21,1977.11111111111,"motive_type"
"85","control",22,1708.67741935484,"control_type"
"86","empathy",22,1618.24242424242,"motive_type"
"87","emprecip",22,1655.03225806452,"motive_type"
"88","reciprocity",22,1735.45161290323,"motive_type"
"89","control",23,2121.8,"control_type"
"90","empathy",23,2305.23529411765,"motive_type"
"91","emprecip",23,2101.74193548387,"motive_type"
"92","reciprocity",23,2312.84375,"motive_type"
"93","control",24,1227.44444444444,"control_type"
"94","empathy",24,1142.62857142857,"motive_type"
"95","emprecip",24,1134.61290322581,"motive_type"
"96","reciprocity",24,1166.37931034483,"motive_type"
"97","control",25,2187.47368421053,"control_type"
"98","empathy",25,1795.97058823529,"motive_type"
"99","emprecip",25,1898.22222222222,"motive_type"
"100","reciprocity",25,1828.66666666667,"motive_type"
"101","control",26,1863.2,"control_type"
"102","empathy",26,1854,"motive_type"
"103","emprecip",26,1961.7037037037,"motive_type"
"104","reciprocity",26,1916.60714285714,"motive_type"
"105","control",27,1449.64,"control_type"
"106","empathy",27,1593.28125,"motive_type"
"107","emprecip",27,1495.74193548387,"motive_type"
"108","reciprocity",27,1951.09523809524,"motive_type"
"109","control",28,2335.66666666667,"control_type"
"110","empathy",28,1398.61111111111,"motive_type"
"111","emprecip",28,966.710526315789,"motive_type"
"112","reciprocity",28,1397.64516129032,"motive_type"
"113","control",29,1729.45454545455,"control_type"
"114","empathy",29,1691.47058823529,"motive_type"
"115","emprecip",29,1508.64864864865,"motive_type"
"116","reciprocity",29,1823.18181818182,"motive_type"
"117","control",30,999.027027027027,"control_type"
"118","empathy",30,1257.67647058824,"motive_type"
"119","emprecip",30,1172.76315789474,"motive_type"
"120","reciprocity",30,1314.83333333333,"motive_type"
"121","control",31,1703.18181818182,"control_type"
"122","empathy",31,1156.36111111111,"motive_type"
"123","emprecip",31,1309.13513513514,"motive_type"
"124","reciprocity",31,1346.96666666667,"motive_type"
"125","control",32,1863.04347826087,"control_type"
"126","empathy",32,1664.35483870968,"motive_type"
"127","emprecip",32,2161.46666666667,"motive_type"
"128","reciprocity",32,1746.93333333333,"motive_type"
"129","control",33,1882.42307692308,"control_type"
"130","empathy",33,1037.5652173913,"motive_type"
"131","emprecip",33,1807.77272727273,"motive_type"
"132","reciprocity",33,1594.65384615385,"motive_type"
